data,comune,nuovi_positivi,deceduti
2021-12-08,Casteldaccia,0,0
2021-12-09,Casteldaccia,2,0
2021-12-10,Casteldaccia,0,0
2021-12-11,Casteldaccia,4,0
2021-12-12,Casteldaccia,1,0
2021-12-13,Casteldaccia,0,0
2021-12-14,Casteldaccia,0,0
2021-12-15,Casteldaccia,1,0
2021-12-16,Casteldaccia,2,0
2021-12-17,Casteldaccia,2,0
2021-12-18,Casteldaccia,2,0
2021-12-19,Casteldaccia,5,0
2021-12-20,Casteldaccia,3,0
2021-12-21,Casteldaccia,1,0
2021-12-22,Casteldaccia,0,0
2021-12-23,Casteldaccia,6,0
2021-12-24,Casteldaccia,4,0
2021-12-25,Casteldaccia,5,0
2021-12-26,Casteldaccia,3,0
