data,comune,nuovi_positivi,deceduti
2021-11-03,Santa Flavia,0,0
2021-11-04,Santa Flavia,3,0
2021-11-05,Santa Flavia,0,0
2021-11-06,Santa Flavia,2,0
2021-11-07,Santa Flavia,0,0
2021-11-08,Santa Flavia,0,0
2021-11-09,Santa Flavia,0,0
2021-11-10,Santa Flavia,0,0
2021-11-11,Santa Flavia,0,0
2021-11-12,Santa Flavia,0,0
2021-11-13,Santa Flavia,3,0
2021-11-14,Santa Flavia,0,0
2021-11-15,Santa Flavia,1,0
2021-11-16,Santa Flavia,0,0
2021-11-17,Santa Flavia,0,0
2021-11-18,Santa Flavia,0,0
2021-11-19,Santa Flavia,0,0
2021-11-20,Santa Flavia,0,0
2021-11-21,Santa Flavia,0,0
2021-11-22,Santa Flavia,1,0
2021-11-23,Santa Flavia,0,0
2021-11-24,Santa Flavia,0,0
2021-11-25,Santa Flavia,3,0
2021-11-26,Santa Flavia,0,0
2021-11-27,Santa Flavia,0,0
2021-11-28,Santa Flavia,2,0
2021-11-29,Santa Flavia,0,0
2021-11-30,Santa Flavia,0,0
2021-12-01,Santa Flavia,0,0
2021-12-02,Santa Flavia,1,0
2021-12-03,Santa Flavia,0,0
2021-12-04,Santa Flavia,0,0
2021-12-05,Santa Flavia,0,0
2021-12-06,Santa Flavia,0,0
2021-12-07,Santa Flavia,0,0
2021-12-08,Santa Flavia,0,0
2021-12-09,Santa Flavia,0,0
2021-12-10,Santa Flavia,5,0
2021-12-11,Santa Flavia,1,0
2021-12-12,Santa Flavia,0,0
2021-12-13,Santa Flavia,0,0
2021-12-14,Santa Flavia,0,0
2021-12-15,Santa Flavia,0,0
2021-12-16,Santa Flavia,0,0
2021-12-17,Santa Flavia,0,0
2021-12-18,Santa Flavia,3,0
2021-12-19,Santa Flavia,0,0
2021-12-20,Santa Flavia,3,0
2021-12-21,Santa Flavia,1,0
2021-12-22,Santa Flavia,0,0
2021-12-23,Santa Flavia,2,0
2021-12-24,Santa Flavia,3,0
2021-12-25,Santa Flavia,3,0
2021-12-26,Santa Flavia,4,0
2021-12-27,Santa Flavia,10,0
2021-12-28,Santa Flavia,4,0
2021-12-29,Santa Flavia,2,0
2021-12-30,Santa Flavia,4,0
2021-12-31,Santa Flavia,13,0
2022-01-01,Santa Flavia,11,0
2022-01-02,Santa Flavia,9,0
2022-01-03,Santa Flavia,2,0
2022-01-04,Santa Flavia,4,0
2022-01-05,Santa Flavia,5,0
2022-01-06,Santa Flavia,1,0
2022-01-07,Santa Flavia,2,0
2022-01-08,Santa Flavia,2,0
2022-01-09,Santa Flavia,0,0
2022-01-10,Santa Flavia,8,0
2022-01-11,Santa Flavia,1,0
2022-01-12,Santa Flavia,2,0
2022-01-13,Santa Flavia,3,0
2022-01-14,Santa Flavia,6,0
2022-01-15,Santa Flavia,4,0
2022-01-16,Santa Flavia,0,0
2022-01-17,Santa Flavia,2,0
2022-01-18,Santa Flavia,13,0
2022-01-19,Santa Flavia,12,0
2022-01-20,Santa Flavia,12,0
2022-01-21,Santa Flavia,10,0
2022-01-22,Santa Flavia,3,0
2022-01-23,Santa Flavia,6,0
2022-01-24,Santa Flavia,0,0
2022-01-25,Santa Flavia,8,0
2022-01-26,Santa Flavia,7,0
2022-01-27,Santa Flavia,10,0
2022-01-28,Santa Flavia,5,0
2022-01-29,Santa Flavia,4,0
2022-01-30,Santa Flavia,1,0
2022-01-31,Santa Flavia,5,0
2022-02-01,Santa Flavia,12,0
2022-02-02,Santa Flavia,2,0
2022-02-03,Santa Flavia,4,0
2022-02-04,Santa Flavia,4,0
2022-02-05,Santa Flavia,8,0
2022-02-06,Santa Flavia,5,0
2022-02-07,Santa Flavia,4,0
2022-02-08,Santa Flavia,10,0
2022-02-09,Santa Flavia,8,0
2022-02-10,Santa Flavia,2,0
2022-02-11,Santa Flavia,4,0
2022-02-12,Santa Flavia,11,0
2022-02-13,Santa Flavia,6,0
2022-02-14,Santa Flavia,8,0
2022-02-15,Santa Flavia,4,0
2022-02-16,Santa Flavia,2,0
2022-02-17,Santa Flavia,3,0
2022-02-18,Santa Flavia,2,0
2022-02-19,Santa Flavia,9,0
2022-02-20,Santa Flavia,8,0
2022-02-21,Santa Flavia,8,0
2022-02-22,Santa Flavia,12,0
2022-02-23,Santa Flavia,0,0
